/Users/corinacaraconcea/Downloads/diversity_study/rl-starter-files/scripts/train.py --algo ppo --env MiniGrid-MultiRoom-N7-S4-v0 --save-interval 10 --frames 80000

Namespace(algo='ppo', env='MiniGrid-MultiRoom-N7-S4-v0', model=None, seed=1, log_interval=1, save_interval=10, procs=16, frames=80000, epochs=4, batch_size=256, frames_per_proc=None, discount=0.99, lr=0.001, gae_lambda=0.95, entropy_coef=0.0005, value_loss_coef=0.5, max_grad_norm=0.5, optim_eps=1e-08, optim_alpha=0.99, clip_eps=0.2, recurrence=2, text=False, intrinsic_coef=0.005, intrinsic_reward_model=None, number_skills=10, window_size=5, mem=True)

Device: cpu

Environments loaded

Training status loaded

Observations preprocessor loaded
Model loaded

ACModel(
  (image_conv): Sequential(
    (0): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
    (1): ReLU()
    (2): MaxPool2d(kernel_size=(2, 2), stride=(2, 2), padding=0, dilation=1, ceil_mode=False)
    (3): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
    (4): ReLU()
    (5): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
    (6): ReLU()
  )
  (memory_rnn): LSTMCell(64, 64)
  (actor): Sequential(
    (0): Linear(in_features=64, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=7, bias=True)
  )
  (critic): Sequential(
    (0): Linear(in_features=64, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=1, bias=True)
  )
)

Optimizer loaded

U 12 | F 0000024576 | FPS 1579 | D 15 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 140.0 0.0 140.0 140.0 | H 1.942 | V 0.004 | pL 0.001 | vL 0.000 | ∇ 0.000
U 13 | F 0000026624 | FPS 1651 | D 17 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 140.0 0.0 140.0 140.0 | H 1.943 | V 0.004 | pL 0.001 | vL 0.000 | ∇ 0.000
U 14 | F 0000028672 | FPS 1621 | D 18 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 140.0 0.0 140.0 140.0 | H 1.943 | V 0.003 | pL 0.001 | vL 0.000 | ∇ 0.000
U 15 | F 0000030720 | FPS 1558 | D 19 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 140.0 0.0 140.0 140.0 | H 1.943 | V 0.002 | pL 0.001 | vL 0.000 | ∇ 0.000
U 16 | F 0000032768 | FPS 1620 | D 20 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 140.0 0.0 140.0 140.0 | H 1.943 | V 0.002 | pL 0.001 | vL 0.000 | ∇ 0.000
U 17 | F 0000034816 | FPS 1615 | D 22 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 140.0 0.0 140.0 140.0 | H 1.944 | V 0.001 | pL 0.000 | vL 0.000 | ∇ 0.000
U 18 | F 0000036864 | FPS 1576 | D 23 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 140.0 0.0 140.0 140.0 | H 1.945 | V 0.000 | pL 0.000 | vL 0.000 | ∇ 0.000
U 19 | F 0000038912 | FPS 1564 | D 24 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 140.0 0.0 140.0 140.0 | H 1.945 | V 0.000 | pL 0.000 | vL 0.000 | ∇ 0.000
U 20 | F 0000040960 | FPS 1594 | D 26 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 140.0 0.0 140.0 140.0 | H 1.945 | V 0.000 | pL 0.000 | vL 0.000 | ∇ 0.000
U 21 | F 0000043008 | FPS 1501 | D 27 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 140.0 0.0 140.0 140.0 | H 1.945 | V 0.000 | pL 0.000 | vL 0.000 | ∇ 0.000
U 22 | F 0000045056 | FPS 1509 | D 28 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 140.0 0.0 140.0 140.0 | H 1.945 | V -0.000 | pL 0.000 | vL 0.000 | ∇ 0.000
U 23 | F 0000047104 | FPS 1596 | D 30 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 140.0 0.0 140.0 140.0 | H 1.945 | V -0.000 | pL -0.000 | vL 0.000 | ∇ 0.000
U 24 | F 0000049152 | FPS 1624 | D 31 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 140.0 0.0 140.0 140.0 | H 1.945 | V -0.000 | pL 0.000 | vL 0.000 | ∇ 0.000
U 25 | F 0000051200 | FPS 1641 | D 32 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 140.0 0.0 140.0 140.0 | H 1.945 | V -0.000 | pL -0.000 | vL 0.000 | ∇ 0.000
U 26 | F 0000053248 | FPS 1496 | D 34 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 140.0 0.0 140.0 140.0 | H 1.945 | V 0.000 | pL 0.000 | vL 0.000 | ∇ 0.000
U 27 | F 0000055296 | FPS 1678 | D 35 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 140.0 0.0 140.0 140.0 | H 1.945 | V -0.000 | pL -0.000 | vL 0.000 | ∇ 0.000
U 28 | F 0000057344 | FPS 1587 | D 36 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 140.0 0.0 140.0 140.0 | H 1.945 | V 0.000 | pL 0.000 | vL 0.000 | ∇ 0.000
U 29 | F 0000059392 | FPS 1672 | D 37 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 140.0 0.0 140.0 140.0 | H 1.945 | V -0.000 | pL -0.000 | vL 0.000 | ∇ 0.000
U 30 | F 0000061440 | FPS 1648 | D 39 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 140.0 0.0 140.0 140.0 | H 1.945 | V 0.000 | pL 0.000 | vL 0.000 | ∇ 0.000
U 31 | F 0000063488 | FPS 1649 | D 40 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 140.0 0.0 140.0 140.0 | H 1.945 | V 0.000 | pL 0.000 | vL 0.000 | ∇ 0.000
U 32 | F 0000065536 | FPS 1433 | D 41 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 140.0 0.0 140.0 140.0 | H 1.945 | V -0.000 | pL 0.000 | vL 0.000 | ∇ 0.000
U 33 | F 0000067584 | FPS 1601 | D 42 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 140.0 0.0 140.0 140.0 | H 1.945 | V 0.000 | pL -0.000 | vL 0.000 | ∇ 0.000
U 34 | F 0000069632 | FPS 1566 | D 44 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 140.0 0.0 140.0 140.0 | H 1.945 | V -0.000 | pL -0.000 | vL 0.000 | ∇ 0.000
U 35 | F 0000071680 | FPS 1575 | D 45 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 140.0 0.0 140.0 140.0 | H 1.945 | V -0.000 | pL -0.000 | vL 0.000 | ∇ 0.000
U 36 | F 0000073728 | FPS 1651 | D 46 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 140.0 0.0 140.0 140.0 | H 1.946 | V -0.000 | pL -0.000 | vL 0.000 | ∇ 0.000
U 37 | F 0000075776 | FPS 1625 | D 48 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 140.0 0.0 140.0 140.0 | H 1.945 | V -0.000 | pL -0.000 | vL 0.000 | ∇ 0.000
U 38 | F 0000077824 | FPS 1619 | D 49 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 140.0 0.0 140.0 140.0 | H 1.945 | V 0.000 | pL -0.000 | vL 0.000 | ∇ 0.000
U 39 | F 0000079872 | FPS 1424 | D 50 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 140.0 0.0 140.0 140.0 | H 1.945 | V 0.000 | pL 0.000 | vL 0.000 | ∇ 0.000
U 40 | F 0000081920 | FPS 1542 | D 52 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 140.0 0.0 140.0 140.0 | H 1.945 | V 0.000 | pL 0.000 | vL 0.000 | ∇ 0.000
